_1,_2
7662,1.1046221254112046E-4
9489,1.1046221254112046E-4
1418,1.1046221254112046E-4
5606,6.4018115411204495E-6
3744,1.1046221254112046E-4
4199,1.1046221254112046E-4
2169,1.1046221254112046E-4
5214,1.1046221254112046E-4
7732,1.1046221254112046E-4
5764,1.1046221254112046E-4
9106,6.4018115411204495E-6
7290,1.1046221254112046E-4
6509,9.462212541120451E-6
1350,1.1046221254112046E-4
9482,1.1046221254112046E-4
8312,1.1046221254112046E-4
192,1.1046221254112046E-4
3370,1.1046221254112046E-4
9842,1.1046221254112046E-4
9716,1.1046221254112046E-4
1875,1.1046221254112046E-4
7250,1.1046221254112046E-4
44,1.1046221254112046E-4
6167,1.1046221254112046E-4
3528,1.1046221254112046E-4
844,1.1046221254112046E-4
4354,1.1046221254112046E-4
5852,1.1046221254112046E-4
5405,5.361207531120449E-6
3069,1.1046221254112046E-4
3123,1.1046221254112046E-4
4538,1.1046221254112046E-4
8967,1.1046221254112046E-4
743,1.1046221254112046E-4
811,1.1046221254112046E-4
7962,1.1046221254112046E-4
6391,1.1046221254112046E-4
5219,1.1046221254112046E-4
9038,1.1046221254112046E-4
1135,1.1046221254112046E-4
908,8.452212541120449E-6
3183,1.1046221254112046E-4
2738,1.1046221254112046E-4
3481,1.1046221254112046E-4
3017,1.1046221254112046E-4
2322,1.1046221254112046E-4
9147,1.1046221254112046E-4
9547,1.1046221254112046E-4
2134,1.1046221254112046E-4
7676,1.1046221254112046E-4
6988,1.1046221254112046E-4
9787,1.1046221254112046E-4
8815,1.1046221254112046E-4
9498,1.1046221254112046E-4
4267,1.1046221254112046E-4
6831,1.1046221254112046E-4
159,1.1046221254112046E-4
271,1.1046221254112046E-4
3666,1.1046221254112046E-4
7257,1.1046221254112046E-4
3287,1.1046221254112046E-4
3922,1.1046221254112046E-4
916,1.1046221254112046E-4
606,6.4018115411204495E-6
7225,1.1046221254112046E-4
2644,1.1046221254112046E-4
3783,1.1046221254112046E-4
8415,1.1046221254112046E-4
3669,1.1046221254112046E-4
6491,1.1046221254112046E-4
