_1,_2
9518,1.1046221254112046E-4
134,1.1046221254112046E-4
3088,1.1046221254112046E-4
4797,1.1046221254112046E-4
6205,5.361207531120449E-6
9082,1.1046221254112046E-4
6696,1.1046221254112046E-4
2182,1.1046221254112046E-4
6025,1.1046221254112046E-4
2110,1.046221254112045E-5
7770,1.1046221254112046E-4
6908,8.452212541120449E-6
5083,1.1046221254112046E-4
7565,1.1046221254112046E-4
9048,1.1046221254112046E-4
841,1.1046221254112046E-4
1857,1.1046221254112046E-4
8096,1.1046221254112046E-4
2546,1.1046221254112046E-4
2973,1.1046221254112046E-4
584,1.1046221254112046E-4
1933,1.1046221254112046E-4
878,1.1046221254112046E-4
5107,7.432112541120451E-6
4234,1.1046221254112046E-4
3291,1.1046221254112046E-4
9532,1.1046221254112046E-4
4367,1.1046221254112046E-4
991,1.1046221254112046E-4
9673,1.1046221254112046E-4
4214,1.1046221254112046E-4
2417,1.1046221254112046E-4
8317,1.1046221254112046E-4
6131,1.1046221254112046E-4
6428,1.1046221254112046E-4
5566,1.1046221254112046E-4
