_1,_2
79,1.1046221254112046E-4
9388,1.1046221254112046E-4
1817,1.1046221254112046E-4
4920,1.1046221254112046E-4
9490,1.1046221254112046E-4
5239,1.1046221254112046E-4
9104,4.31019748102045E-6
2897,1.1046221254112046E-4
8089,1.1046221254112046E-4
8944,1.1046221254112046E-4
5820,1.1046221254112046E-4
778,1.1046221254112046E-4
3447,1.1046221254112046E-4
2162,1.1046221254112046E-4
4906,6.4018115411204495E-6
7179,1.1046221254112046E-4
7007,7.432112541120451E-6
6371,1.1046221254112046E-4
6246,1.1046221254112046E-4
5703,3.2486773304194495E-6
4871,1.1046221254112046E-4
765,1.1046221254112046E-4
6196,1.1046221254112046E-4
6533,1.1046221254112046E-4
892,1.1046221254112046E-4
6883,1.1046221254112046E-4
6603,3.2486773304194495E-6
4856,1.1046221254112046E-4
9398,1.1046221254112046E-4
1262,1.1046221254112046E-4
4261,1.1046221254112046E-4
6519,1.1046221254112046E-4
4960,1.1046221254112046E-4
6868,1.1046221254112046E-4
3366,1.1046221254112046E-4
1328,1.1046221254112046E-4
2944,1.1046221254112046E-4
7064,1.1046221254112046E-4
6037,1.1046221254112046E-4
5079,1.1046221254112046E-4
1572,1.1046221254112046E-4
8906,6.4018115411204495E-6
803,3.2486773304194495E-6
3556,1.1046221254112046E-4
9796,1.1046221254112046E-4
2266,1.1046221254112046E-4
2,2.17654197831244E-6
