_1,_2
2712,1.1046221254112046E-4
6963,1.1046221254112046E-4
9776,1.1046221254112046E-4
3791,1.1046221254112046E-4
2849,1.1046221254112046E-4
1538,1.1046221254112046E-4
3625,1.1046221254112046E-4
8903,3.2486773304194495E-6
5887,1.1046221254112046E-4
4995,1.1046221254112046E-4
9574,1.1046221254112046E-4
7759,1.1046221254112046E-4
1245,1.1046221254112046E-4
7968,1.1046221254112046E-4
9932,1.1046221254112046E-4
7009,9.462212541120451E-6
4807,7.432112541120451E-6
6172,1.1046221254112046E-4
2695,1.1046221254112046E-4
340,1.1046221254112046E-4
6161,1.1046221254112046E-4
431,1.1046221254112046E-4
2837,1.1046221254112046E-4
8680,1.1046221254112046E-4
4639,1.1046221254112046E-4
7705,5.361207531120449E-6
6020,1.1046221254112046E-4
1335,1.1046221254112046E-4
980,1.1046221254112046E-4
5373,1.1046221254112046E-4
881,1.1046221254112046E-4
1670,1.1046221254112046E-4
4314,1.1046221254112046E-4
6171,1.1046221254112046E-4
3497,1.1046221254112046E-4
692,1.1046221254112046E-4
1021,1.1046221254112046E-4
5564,1.1046221254112046E-4
7070,1.1046221254112046E-4
6992,1.1046221254112046E-4
9737,1.1046221254112046E-4
3439,1.1046221254112046E-4
4279,1.1046221254112046E-4
6165,1.1046221254112046E-4
4564,1.1046221254112046E-4
5237,1.1046221254112046E-4
6452,1.1046221254112046E-4
9827,1.1046221254112046E-4
4510,1.046221254112045E-5
295,1.1046221254112046E-4
8378,1.1046221254112046E-4
2185,1.1046221254112046E-4
