_1,_2
1508,8.452212541120449E-6
1885,1.1046221254112046E-4
2925,1.1046221254112046E-4
1373,1.1046221254112046E-4
5648,1.1046221254112046E-4
3329,1.1046221254112046E-4
9010,1.046221254112045E-5
1652,1.1046221254112046E-4
7734,1.1046221254112046E-4
5078,1.1046221254112046E-4
5145,1.1046221254112046E-4
573,1.1046221254112046E-4
9100,1.1046221254112046E-4
6269,1.1046221254112046E-4
5493,1.1046221254112046E-4
7658,1.1046221254112046E-4
4953,1.1046221254112046E-4
118,1.1046221254112046E-4
4903,3.2486773304194495E-6
3321,1.1046221254112046E-4
4236,1.1046221254112046E-4
4817,1.1046221254112046E-4
8103,3.2486773304194495E-6
4128,1.1046221254112046E-4
722,1.1046221254112046E-4
8972,1.1046221254112046E-4
1112,1.1046221254112046E-4
6412,1.1046221254112046E-4
2642,1.1046221254112046E-4
1503,3.2486773304194495E-6
4671,1.1046221254112046E-4
3186,1.1046221254112046E-4
1390,1.1046221254112046E-4
3617,1.1046221254112046E-4
6013,1.1046221254112046E-4
5208,8.452212541120449E-6
6645,1.1046221254112046E-4
5873,1.1046221254112046E-4
2010,1.046221254112045E-5
1571,1.1046221254112046E-4
4679,1.1046221254112046E-4
7025,1.1046221254112046E-4
7809,9.462212541120451E-6
4724,1.1046221254112046E-4
4854,1.1046221254112046E-4
5535,1.1046221254112046E-4
1981,1.1046221254112046E-4
9663,1.1046221254112046E-4
2348,1.1046221254112046E-4
3224,1.1046221254112046E-4
6675,1.1046221254112046E-4
1449,1.1046221254112046E-4
4872,1.1046221254112046E-4
7965,1.1046221254112046E-4
4422,1.1046221254112046E-4
9102,2.17654197831244E-6
