_1,_2
7851,1.1046221254112046E-4
4827,1.1046221254112046E-4
5855,1.1046221254112046E-4
8307,7.432112541120451E-6
6046,1.1046221254112046E-4
7848,1.1046221254112046E-4
8376,1.1046221254112046E-4
7878,1.1046221254112046E-4
8227,1.1046221254112046E-4
7010,1.046221254112045E-5
1027,1.1046221254112046E-4
4853,1.1046221254112046E-4
5508,8.452212541120449E-6
8741,1.1046221254112046E-4
621,1.1046221254112046E-4
3311,1.1046221254112046E-4
9952,1.1046221254112046E-4
3953,1.1046221254112046E-4
2088,1.1046221254112046E-4
2491,1.1046221254112046E-4
382,1.1046221254112046E-4
6817,1.1046221254112046E-4
2441,1.1046221254112046E-4
630,1.1046221254112046E-4
2195,1.1046221254112046E-4
1919,1.1046221254112046E-4
5894,1.1046221254112046E-4
3268,1.1046221254112046E-4
6783,1.1046221254112046E-4
1282,1.1046221254112046E-4
5783,1.1046221254112046E-4
8814,1.1046221254112046E-4
6270,1.1046221254112046E-4
3896,1.1046221254112046E-4
786,1.1046221254112046E-4
75,1.1046221254112046E-4
469,1.1046221254112046E-4
6909,9.462212541120451E-6
