_1,_2
1722,1.1046221254112046E-4
3987,1.1046221254112046E-4
4093,1.1046221254112046E-4
3446,1.1046221254112046E-4
2698,1.1046221254112046E-4
4775,1.1046221254112046E-4
2170,1.1046221254112046E-4
7733,1.1046221254112046E-4
7789,1.1046221254112046E-4
1878,1.1046221254112046E-4
3172,1.1046221254112046E-4
2256,1.1046221254112046E-4
6537,1.1046221254112046E-4
3754,1.1046221254112046E-4
7616,1.1046221254112046E-4
2344,1.1046221254112046E-4
1616,1.1046221254112046E-4
3210,1.046221254112045E-5
3474,1.1046221254112046E-4
6975,1.1046221254112046E-4
4325,1.1046221254112046E-4
6907,7.432112541120451E-6
5000,1.1046221254112046E-4
6223,1.1046221254112046E-4
7261,1.1046221254112046E-4
3607,7.432112541120451E-6
2575,1.1046221254112046E-4
5077,1.1046221254112046E-4
2989,1.1046221254112046E-4
274,1.1046221254112046E-4
7780,1.1046221254112046E-4
8531,1.1046221254112046E-4
8121,1.1046221254112046E-4
4688,1.1046221254112046E-4
1922,1.1046221254112046E-4
5114,1.1046221254112046E-4
7707,7.432112541120451E-6
6508,8.452212541120449E-6
7611,1.1046221254112046E-4
6365,1.1046221254112046E-4
8449,1.1046221254112046E-4
631,1.1046221254112046E-4
5588,1.1046221254112046E-4
4450,1.1046221254112046E-4
2633,1.1046221254112046E-4
1473,1.1046221254112046E-4
9164,1.1046221254112046E-4
7709,9.462212541120451E-6
3192,1.1046221254112046E-4
1434,1.1046221254112046E-4
4680,1.1046221254112046E-4
3111,1.1046221254112046E-4
6112,1.1046221254112046E-4
2363,1.1046221254112046E-4
3058,1.1046221254112046E-4
6996,1.1046221254112046E-4
