_1,_2
6935,1.1046221254112046E-4
7727,1.1046221254112046E-4
1654,1.1046221254112046E-4
2019,1.1046221254112046E-4
9287,1.1046221254112046E-4
5088,1.1046221254112046E-4
666,1.1046221254112046E-4
3074,1.1046221254112046E-4
3262,1.1046221254112046E-4
7213,1.1046221254112046E-4
775,1.1046221254112046E-4
8177,1.1046221254112046E-4
2764,1.1046221254112046E-4
6976,1.1046221254112046E-4
7270,1.1046221254112046E-4
4967,1.1046221254112046E-4
165,1.1046221254112046E-4
5462,1.1046221254112046E-4
4847,1.1046221254112046E-4
9692,1.1046221254112046E-4
9780,1.1046221254112046E-4
8706,6.4018115411204495E-6
1182,1.1046221254112046E-4
5044,1.1046221254112046E-4
8590,1.1046221254112046E-4
8840,1.1046221254112046E-4
1697,1.1046221254112046E-4
1330,1.1046221254112046E-4
5166,1.1046221254112046E-4
7764,1.1046221254112046E-4
8082,1.1046221254112046E-4
4595,1.1046221254112046E-4
6670,1.1046221254112046E-4
8605,5.361207531120449E-6
8094,1.1046221254112046E-4
1800,1.1046221254112046E-4
5476,1.1046221254112046E-4
1240,1.1046221254112046E-4
1132,1.1046221254112046E-4
5509,9.462212541120451E-6
2428,1.1046221254112046E-4
8196,1.1046221254112046E-4
4921,1.1046221254112046E-4
8973,1.1046221254112046E-4
1703,3.2486773304194495E-6
1091,1.1046221254112046E-4
