_1,_2
1128,1.1046221254112046E-4
2836,1.1046221254112046E-4
4322,1.1046221254112046E-4
1227,1.1046221254112046E-4
9841,1.1046221254112046E-4
6072,1.1046221254112046E-4
1486,1.1046221254112046E-4
8161,1.1046221254112046E-4
2892,1.1046221254112046E-4
9351,1.1046221254112046E-4
5738,1.1046221254112046E-4
7715,1.1046221254112046E-4
2856,1.1046221254112046E-4
9108,8.452212541120449E-6
3327,1.1046221254112046E-4
5150,1.1046221254112046E-4
9858,1.1046221254112046E-4
7815,1.1046221254112046E-4
1739,1.1046221254112046E-4
780,1.1046221254112046E-4
6249,1.1046221254112046E-4
4405,5.361207531120449E-6
9596,1.1046221254112046E-4
4494,1.1046221254112046E-4
8140,1.1046221254112046E-4
8824,1.1046221254112046E-4
415,1.1046221254112046E-4
7664,1.1046221254112046E-4
1475,1.1046221254112046E-4
6299,1.1046221254112046E-4
7831,1.1046221254112046E-4
6581,1.1046221254112046E-4
9745,1.1046221254112046E-4
8909,9.462212541120451E-6
5327,1.1046221254112046E-4
2176,1.1046221254112046E-4
7566,1.1046221254112046E-4
5702,2.17654197831244E-6
