_1,_2
1224,1.1046221254112046E-4
8052,1.1046221254112046E-4
5935,1.1046221254112046E-4
116,1.1046221254112046E-4
2024,1.1046221254112046E-4
7021,1.1046221254112046E-4
3680,1.1046221254112046E-4
1797,1.1046221254112046E-4
5026,1.1046221254112046E-4
147,1.1046221254112046E-4
6458,1.1046221254112046E-4
5098,1.1046221254112046E-4
9708,8.452212541120449E-6
6915,1.1046221254112046E-4
7518,1.1046221254112046E-4
4375,1.1046221254112046E-4
8017,1.1046221254112046E-4
1972,1.1046221254112046E-4
4949,1.1046221254112046E-4
6830,1.1046221254112046E-4
7329,1.1046221254112046E-4
6310,1.046221254112045E-5
9729,1.1046221254112046E-4
9289,1.1046221254112046E-4
6036,1.1046221254112046E-4
2263,1.1046221254112046E-4
5782,1.1046221254112046E-4
6862,1.1046221254112046E-4
4371,1.1046221254112046E-4
5379,1.1046221254112046E-4
7591,1.1046221254112046E-4
5021,1.1046221254112046E-4
5858,1.1046221254112046E-4
9976,1.1046221254112046E-4
1080,1.1046221254112046E-4
4242,1.1046221254112046E-4
8387,1.1046221254112046E-4
9961,1.1046221254112046E-4
3604,4.31019748102045E-6
2894,1.1046221254112046E-4
8934,1.1046221254112046E-4
910,1.046221254112045E-5
7671,1.1046221254112046E-4
4575,1.1046221254112046E-4
