_1,_2
8929,1.1046221254112046E-4
4584,1.1046221254112046E-4
109,9.462212541120451E-6
940,1.1046221254112046E-4
7663,1.1046221254112046E-4
5406,6.4018115411204495E-6
254,1.1046221254112046E-4
6441,1.1046221254112046E-4
4527,1.1046221254112046E-4
6651,1.1046221254112046E-4
2093,1.1046221254112046E-4
2604,4.31019748102045E-6
6228,1.1046221254112046E-4
1617,1.1046221254112046E-4
378,1.1046221254112046E-4
6253,1.1046221254112046E-4
1980,1.1046221254112046E-4
2795,1.1046221254112046E-4
4922,1.1046221254112046E-4
487,1.1046221254112046E-4
1726,1.1046221254112046E-4
9905,5.361207531120449E-6
56,1.1046221254112046E-4
4003,3.2486773304194495E-6
9260,1.1046221254112046E-4
5550,1.1046221254112046E-4
5051,1.1046221254112046E-4
8630,1.1046221254112046E-4
4540,1.1046221254112046E-4
1040,1.1046221254112046E-4
4139,1.1046221254112046E-4
5889,1.1046221254112046E-4
7717,1.1046221254112046E-4
3247,1.1046221254112046E-4
9918,1.1046221254112046E-4
4411,1.1046221254112046E-4
6684,1.1046221254112046E-4
639,1.1046221254112046E-4
2283,1.1046221254112046E-4
4750,1.1046221254112046E-4
2510,1.046221254112045E-5
1883,1.1046221254112046E-4
9672,1.1046221254112046E-4
7702,2.17654197831244E-6
