_1,_2
6394,1.1046221254112046E-4
6143,1.1046221254112046E-4
4698,1.1046221254112046E-4
7203,3.2486773304194495E-6
1244,1.1046221254112046E-4
7896,1.1046221254112046E-4
8722,1.1046221254112046E-4
2038,1.1046221254112046E-4
5335,1.1046221254112046E-4
2109,9.462212541120451E-6
140,1.1046221254112046E-4
3498,1.1046221254112046E-4
2619,1.1046221254112046E-4
5361,1.1046221254112046E-4
4507,7.432112541120451E-6
416,1.1046221254112046E-4
827,1.1046221254112046E-4
1300,1.1046221254112046E-4
6941,1.1046221254112046E-4
6515,1.1046221254112046E-4
2037,1.1046221254112046E-4
2306,6.4018115411204495E-6
556,1.1046221254112046E-4
3293,1.1046221254112046E-4
177,1.1046221254112046E-4
6435,1.1046221254112046E-4
4498,1.1046221254112046E-4
1899,1.1046221254112046E-4
8646,1.1046221254112046E-4
2398,1.1046221254112046E-4
9123,1.1046221254112046E-4
5162,1.1046221254112046E-4
711,1.1046221254112046E-4
4756,1.1046221254112046E-4
8516,1.1046221254112046E-4
4032,1.1046221254112046E-4
3904,4.31019748102045E-6
6946,1.1046221254112046E-4
1613,1.1046221254112046E-4
6014,1.1046221254112046E-4
9116,1.1046221254112046E-4
2998,1.1046221254112046E-4
9439,1.1046221254112046E-4
1055,1.1046221254112046E-4
1425,1.1046221254112046E-4
