_1,_2
9036,1.1046221254112046E-4
3044,1.1046221254112046E-4
1893,1.1046221254112046E-4
3297,1.1046221254112046E-4
3354,1.1046221254112046E-4
5106,6.4018115411204495E-6
4228,1.1046221254112046E-4
5366,1.1046221254112046E-4
4473,1.1046221254112046E-4
2055,1.1046221254112046E-4
4103,3.2486773304194495E-6
2958,1.1046221254112046E-4
6613,1.1046221254112046E-4
945,1.1046221254112046E-4
3760,1.1046221254112046E-4
7409,9.462212541120451E-6
1049,1.1046221254112046E-4
4630,1.1046221254112046E-4
9326,1.1046221254112046E-4
6769,1.1046221254112046E-4
3317,1.1046221254112046E-4
3935,1.1046221254112046E-4
5705,5.361207531120449E-6
6004,4.31019748102045E-6
3480,1.1046221254112046E-4
8937,1.1046221254112046E-4
5426,1.1046221254112046E-4
5628,1.1046221254112046E-4
167,1.1046221254112046E-4
5262,1.1046221254112046E-4
5059,1.1046221254112046E-4
9142,1.1046221254112046E-4
1705,5.361207531120449E-6
8111,1.1046221254112046E-4
8749,1.1046221254112046E-4
3478,1.1046221254112046E-4
288,1.1046221254112046E-4
9521,1.1046221254112046E-4
5280,1.1046221254112046E-4
703,3.2486773304194495E-6
576,1.1046221254112046E-4
5378,1.1046221254112046E-4
9486,1.1046221254112046E-4
9913,1.1046221254112046E-4
9997,1.1046221254112046E-4
3215,1.1046221254112046E-4
7138,1.1046221254112046E-4
6353,1.1046221254112046E-4
394,1.1046221254112046E-4
