_1,_2
6655,1.1046221254112046E-4
1461,1.1046221254112046E-4
1144,1.1046221254112046E-4
2026,1.1046221254112046E-4
3539,1.1046221254112046E-4
5338,1.1046221254112046E-4
7490,1.1046221254112046E-4
8896,1.1046221254112046E-4
6268,1.1046221254112046E-4
2681,1.1046221254112046E-4
9040,1.1046221254112046E-4
6961,1.1046221254112046E-4
6775,1.1046221254112046E-4
4352,1.1046221254112046E-4
9494,1.1046221254112046E-4
6756,1.1046221254112046E-4
2880,1.1046221254112046E-4
5247,1.1046221254112046E-4
7178,1.1046221254112046E-4
8160,1.1046221254112046E-4
8761,1.1046221254112046E-4
5577,1.1046221254112046E-4
359,1.1046221254112046E-4
2736,1.1046221254112046E-4
5424,1.1046221254112046E-4
2071,1.1046221254112046E-4
2808,8.452212541120449E-6
5444,1.1046221254112046E-4
4012,1.1046221254112046E-4
1444,1.1046221254112046E-4
4644,1.1046221254112046E-4
5461,1.1046221254112046E-4
6824,1.1046221254112046E-4
9090,1.1046221254112046E-4
8032,1.1046221254112046E-4
6980,1.1046221254112046E-4
4620,1.1046221254112046E-4
6275,1.1046221254112046E-4
4991,1.1046221254112046E-4
5485,1.1046221254112046E-4
479,1.1046221254112046E-4
4258,1.1046221254112046E-4
2519,1.1046221254112046E-4
3419,1.1046221254112046E-4
7470,1.1046221254112046E-4
7046,1.1046221254112046E-4
6050,1.1046221254112046E-4
283,1.1046221254112046E-4
139,1.1046221254112046E-4
1994,1.1046221254112046E-4
