_1,_2
1,1.0936852726843598E-6
101,1.0936852726843598E-6
201,1.0936852726843598E-6
301,1.0936852726843598E-6
401,1.0936852726843598E-6
501,1.0936852726843598E-6
601,1.0936852726843598E-6
701,1.0936852726843598E-6
801,1.0936852726843598E-6
901,1.0936852726843598E-6
1001,1.0936852726843598E-6
1101,1.0936852726843598E-6
1201,1.0936852726843598E-6
1301,1.0936852726843598E-6
1401,1.0936852726843598E-6
1501,1.0936852726843598E-6
1601,1.0936852726843598E-6
1701,1.0936852726843598E-6
1801,1.0936852726843598E-6
1901,1.0936852726843598E-6
2001,1.0936852726843598E-6
2101,1.0936852726843598E-6
2201,1.0936852726843598E-6
2301,1.0936852726843598E-6
2401,1.0936852726843598E-6
2501,1.0936852726843598E-6
2601,1.0936852726843598E-6
2701,1.0936852726843598E-6
2801,1.0936852726843598E-6
2901,1.0936852726843598E-6
3001,1.0936852726843598E-6
3101,1.0936852726843598E-6
3201,1.0936852726843598E-6
3301,1.0936852726843598E-6
3401,1.0936852726843598E-6
3501,1.0936852726843598E-6
3601,1.0936852726843598E-6
3701,1.0936852726843598E-6
3801,1.0936852726843598E-6
3901,1.0936852726843598E-6
4001,1.0936852726843598E-6
4101,1.0936852726843598E-6
4201,1.0936852726843598E-6
4301,1.0936852726843598E-6
4401,1.0936852726843598E-6
4501,1.0936852726843598E-6
4601,1.0936852726843598E-6
4701,1.0936852726843598E-6
4801,1.0936852726843598E-6
4901,1.0936852726843598E-6
