_1,_2
9384,1.1046221254112046E-4
9207,7.432112541120451E-6
7325,1.1046221254112046E-4
4958,1.1046221254112046E-4
9926,1.1046221254112046E-4
7818,1.1046221254112046E-4
4918,1.1046221254112046E-4
5152,1.1046221254112046E-4
2683,1.1046221254112046E-4
1031,1.1046221254112046E-4
28,1.1046221254112046E-4
8827,1.1046221254112046E-4
8116,1.1046221254112046E-4
2522,1.1046221254112046E-4
210,1.046221254112045E-5
2052,1.1046221254112046E-4
1426,1.1046221254112046E-4
2313,1.1046221254112046E-4
436,1.1046221254112046E-4
5961,1.1046221254112046E-4
6319,1.1046221254112046E-4
4326,1.1046221254112046E-4
183,1.1046221254112046E-4
8514,1.1046221254112046E-4
8976,1.1046221254112046E-4
8478,1.1046221254112046E-4
9781,1.1046221254112046E-4
7613,1.1046221254112046E-4
2079,1.1046221254112046E-4
7188,1.1046221254112046E-4
8999,1.1046221254112046E-4
7800,1.1046221254112046E-4
1496,1.1046221254112046E-4
3841,1.1046221254112046E-4
2463,1.1046221254112046E-4
4443,1.1046221254112046E-4
9441,1.1046221254112046E-4
9450,1.1046221254112046E-4
3234,1.1046221254112046E-4
3685,1.1046221254112046E-4
1441,1.1046221254112046E-4
7522,1.1046221254112046E-4
5981,1.1046221254112046E-4
7599,1.1046221254112046E-4
6095,1.1046221254112046E-4
5936,1.1046221254112046E-4
2180,1.1046221254112046E-4
9714,1.1046221254112046E-4
7935,1.1046221254112046E-4
4208,8.452212541120449E-6
1892,1.1046221254112046E-4
1175,1.1046221254112046E-4
7460,1.1046221254112046E-4
3445,1.1046221254112046E-4
2209,9.462212541120451E-6
