_1,_2
2660,1.1046221254112046E-4
9170,1.1046221254112046E-4
4358,1.1046221254112046E-4
7207,7.432112541120451E-6
376,1.1046221254112046E-4
1511,1.1046221254112046E-4
1622,1.1046221254112046E-4
272,1.1046221254112046E-4
2372,1.1046221254112046E-4
4287,1.1046221254112046E-4
5910,1.046221254112045E-5
2503,3.2486773304194495E-6
4458,1.1046221254112046E-4
4990,1.1046221254112046E-4
2043,1.1046221254112046E-4
9572,1.1046221254112046E-4
2550,1.1046221254112046E-4
3722,1.1046221254112046E-4
1383,1.1046221254112046E-4
8684,1.1046221254112046E-4
3594,1.1046221254112046E-4
735,1.1046221254112046E-4
5017,1.1046221254112046E-4
5248,1.1046221254112046E-4
3614,1.1046221254112046E-4
4963,1.1046221254112046E-4
8162,1.1046221254112046E-4
5739,1.1046221254112046E-4
4309,9.462212541120451E-6
9761,1.1046221254112046E-4
3041,1.1046221254112046E-4
1707,7.432112541120451E-6
2562,1.1046221254112046E-4
9362,1.1046221254112046E-4
680,1.1046221254112046E-4
515,1.1046221254112046E-4
7126,1.1046221254112046E-4
7828,1.1046221254112046E-4
9487,1.1046221254112046E-4
3487,1.1046221254112046E-4
9581,1.1046221254112046E-4
5928,1.1046221254112046E-4
6844,1.1046221254112046E-4
9633,1.1046221254112046E-4
8670,1.1046221254112046E-4
5484,1.1046221254112046E-4
8685,1.1046221254112046E-4
488,1.1046221254112046E-4
8631,1.1046221254112046E-4
2978,1.1046221254112046E-4
7413,1.1046221254112046E-4
8021,1.1046221254112046E-4
2710,1.046221254112045E-5
200,1.1046221254112046E-4
6682,1.1046221254112046E-4
9617,1.1046221254112046E-4
4975,1.1046221254112046E-4
9497,1.1046221254112046E-4
7593,1.1046221254112046E-4
7544,1.1046221254112046E-4
8305,5.361207531120449E-6
5623,1.1046221254112046E-4
145,1.1046221254112046E-4
8215,1.1046221254112046E-4
2747,1.1046221254112046E-4
