_1,_2
4159,1.1046221254112046E-4
9455,1.1046221254112046E-4
4043,1.1046221254112046E-4
4839,1.1046221254112046E-4
5096,1.1046221254112046E-4
9515,1.1046221254112046E-4
3084,1.1046221254112046E-4
1551,1.1046221254112046E-4
8481,1.1046221254112046E-4
3350,1.1046221254112046E-4
1435,1.1046221254112046E-4
3232,1.1046221254112046E-4
4832,1.1046221254112046E-4
8092,1.1046221254112046E-4
9334,1.1046221254112046E-4
545,1.1046221254112046E-4
9691,1.1046221254112046E-4
9047,1.1046221254112046E-4
9895,1.1046221254112046E-4
846,1.1046221254112046E-4
6043,1.1046221254112046E-4
776,1.1046221254112046E-4
1951,1.1046221254112046E-4
5147,1.1046221254112046E-4
9296,1.1046221254112046E-4
620,1.1046221254112046E-4
9131,1.1046221254112046E-4
5716,1.1046221254112046E-4
871,1.1046221254112046E-4
7633,1.1046221254112046E-4
7868,1.1046221254112046E-4
9175,1.1046221254112046E-4
235,1.1046221254112046E-4
9779,1.1046221254112046E-4
4226,1.1046221254112046E-4
96,1.1046221254112046E-4
8039,1.1046221254112046E-4
5638,1.1046221254112046E-4
1605,5.361207531120449E-6
6293,1.1046221254112046E-4
4976,1.1046221254112046E-4
3473,1.1046221254112046E-4
7408,8.452212541120449E-6
4765,1.1046221254112046E-4
9977,1.1046221254112046E-4
2412,1.1046221254112046E-4
6520,1.1046221254112046E-4
7112,1.1046221254112046E-4
8834,1.1046221254112046E-4
3034,1.1046221254112046E-4
2646,1.1046221254112046E-4
5545,1.1046221254112046E-4
8440,1.1046221254112046E-4
9844,1.1046221254112046E-4
7102,2.17654197831244E-6
